Incident ID,Year,Month,Day,Country Code,Country,Region,District,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Motive,Actor type,Actor name,Details,Verified,Source
9,1997,6.0,17.0,RW,Rwanda,Northern,Musanze,Ruhengeri,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Detention,Unknown,-1.49984,29.63497,Political,Unknown,Unknown,"1 UN national staff shot and killed in Ruhengeri June 17. Arrested by soldiers on 9 June 1997. The mutilated body was found in the bush near Ruhengeri town, on 13 June and had been tortured and shot through the head.",Archived,Archived
10,1997,6.0,19.0,RW,Rwanda,Northern,Musanze,"Ruhengeri, Kigombe",1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Raid,Home,-1.49984,29.63497,Political,Unknown,Unknown,"1 UN national staff driver was shot and killed in Ruhengeri along with his wife, their son aged 7 and their daughter aged 6. They were shot through the windows of their house in Kigombe.",Archived,Archived
14,1997,6.0,19.0,SO,Somalia,Lower Juba,Kismayo,,0,1,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,-0.36667,42.53333,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,1 INGO driver killed by Al Ittihad militia in Kismayo on June 19.,Archived,Archived
13,1997,6.0,20.0,SO,Somalia,Bay,Baydhaba,,0,1,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Individual attack,Project site,3.1199508,43.6444625,Incidental,Unknown,Unknown,1 INGO international staffer (Portuguese) shot in Baidoa hospital apparently in revenge for shooter's brother who died in his care.,Archived,Archived
16,1997,7.0,,,Chechnya,,,,0,1,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Individual attack,Home,43.3976147,45.6985005,Unknown,Unknown,Unknown,1 INGO local staffer killed in home attack.,Archived,Archived
17,1997,7.0,,,Chechnya,,,,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,Kidnapping,Unknown,Unknown,43.3976147,45.6985005,Political,Unknown,Unknown,2 INGO international (British) staff kidnapped. Released 15 months later after ransom paid.,Archived,Archived
18,1997,7.0,,,Chechnya,Ingushetia,Nazranovsky,Nazran,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,43.25,45.83333,Political,Unknown,Unknown,1 INGO international staff kidnapped in Nazran and held 3.6 months before escaping.,Archived,Archived
19,1997,7.0,,SO,Somalia,Bakool,Tiyeeglow,,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,4.01897,44.51112,Economic,Staff member,Security guard,1 donor agency international staff official kidnapped by his security guards at Teyeglow. Escaped two days later.,Archived,Archived
15,1997,7.0,17.0,BD,Bangladesh,Narayanganj,Siddhirganj,,1,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Unknown,23.61352,90.50298,Unknown,Unknown,Unknown,"1 UN national staff shot and killed in Siddhirganj, July 17.",Archived,Archived
20,1997,8.0,,SO,Somalia,Lower Juba,Kismayo,,0,2,0.0,0.0,0.0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,0,Unknown,Individual attack,Unknown,-0.36667,42.53333,Incidental,Non-state armed group: Subnational,Clan,2 INGO national nurses running a health clinic killed in apparent clan-related revenge killing in Kismayo.,Archived,Archived
